resource_key,action_key,display_name,context_type,risk_level
practitioner_role,read,Read practitioner role,INSTANCE,STANDARD
practitioner_role,update,Update practitioner role,INSTANCE,ELEVATED
practitioner_role,delete,Delete practitioner role,INSTANCE,ELEVATED
practitioner_role,assign,Assign practitioner role,INSTANCE,ELEVATED
related_person,create,Create related person,COLLECTION,STANDARD
related_person,list,List related person,COLLECTION,STANDARD
related_person,read,Read related person,INSTANCE,STANDARD
related_person,update,Update related person,INSTANCE,ELEVATED
related_person,delete,Delete related person,INSTANCE,ELEVATED
related_person,assign,Assign related person,INSTANCE,ELEVATED
person,create,Create person,COLLECTION,STANDARD
person,list,List person,COLLECTION,STANDARD
person,read,Read person,INSTANCE,STANDARD
person,update,Update person,INSTANCE,ELEVATED
person,delete,Delete person,INSTANCE,ELEVATED
person,assign,Assign person,INSTANCE,ELEVATED
group,create,Create group,COLLECTION,STANDARD
group,list,List group,COLLECTION,STANDARD
group,read,Read group,INSTANCE,STANDARD
group,update,Update group,INSTANCE,ELEVATED
group,delete,Delete group,INSTANCE,ELEVATED
group,assign,Assign group,INSTANCE,ELEVATED
organization,create,Create organization,COLLECTION,STANDARD
organization,list,List organization,COLLECTION,STANDARD
organization,read,Read organization,INSTANCE,STANDARD
organization,update,Update organization,INSTANCE,ELEVATED
organization,delete,Delete organization,INSTANCE,ELEVATED
organization,assign,Assign organization,INSTANCE,ELEVATED
organization_affiliation,create,Create organization affiliation,COLLECTION,STANDARD
organization_affiliation,list,List organization affiliation,COLLECTION,STANDARD
organization_affiliation,read,Read organization affiliation,INSTANCE,STANDARD
organization_affiliation,update,Update organization affiliation,INSTANCE,ELEVATED
organization_affiliation,delete,Delete organization affiliation,INSTANCE,ELEVATED
organization_affiliation,assign,Assign organization affiliation,INSTANCE,ELEVATED
healthcare_service,create,Create healthcare service,COLLECTION,STANDARD
healthcare_service,list,List healthcare service,COLLECTION,STANDARD
healthcare_service,read,Read healthcare service,INSTANCE,STANDARD
healthcare_service,update,Update healthcare service,INSTANCE,ELEVATED
healthcare_service,delete,Delete healthcare service,INSTANCE,ELEVATED
healthcare_service,assign,Assign healthcare service,INSTANCE,ELEVATED
endpoint,create,Create endpoint,COLLECTION,STANDARD
endpoint,list,List endpoint,COLLECTION,STANDARD
endpoint,read,Read endpoint,INSTANCE,STANDARD
endpoint,update,Update endpoint,INSTANCE,ELEVATED
endpoint,delete,Delete endpoint,INSTANCE,ELEVATED
endpoint,assign,Assign endpoint,INSTANCE,ELEVATED
location,create,Create location,COLLECTION,STANDARD
location,list,List location,COLLECTION,STANDARD
location,read,Read location,INSTANCE,STANDARD
location,update,Update location,INSTANCE,ELEVATED
location,delete,Delete location,INSTANCE,ELEVATED
location,assign,Assign location,INSTANCE,ELEVATED
device,create,Create device,COLLECTION,STANDARD
device,list,List device,COLLECTION,STANDARD
device,read,Read device,INSTANCE,STANDARD
device,update,Update device,INSTANCE,ELEVATED
device,delete,Delete device,INSTANCE,ELEVATED
device,assign,Assign device,INSTANCE,ELEVATED
device_definition,create,Create device definition,COLLECTION,STANDARD
device_definition,list,List device definition,COLLECTION,STANDARD
device_definition,read,Read device definition,INSTANCE,STANDARD
device_definition,update,Update device definition,INSTANCE,ELEVATED
device_definition,delete,Delete device definition,INSTANCE,ELEVATED
device_definition,assign,Assign device definition,INSTANCE,ELEVATED
device_metric,create,Create device metric,COLLECTION,STANDARD
device_metric,list,List device metric,COLLECTION,STANDARD
device_metric,read,Read device metric,INSTANCE,STANDARD
device_metric,update,Update device metric,INSTANCE,ELEVATED
device_metric,delete,Delete device metric,INSTANCE,ELEVATED
device_metric,assign,Assign device metric,INSTANCE,ELEVATED
device_request,create,Create device request,COLLECTION,STANDARD
device_request,list,List device request,COLLECTION,STANDARD
device_request,read,Read device request,INSTANCE,STANDARD
device_request,update,Update device request,INSTANCE,ELEVATED
device_request,delete,Delete device request,INSTANCE,ELEVATED
device_request,assign,Assign device request,INSTANCE,ELEVATED
device_usage,create,Create device usage,COLLECTION,STANDARD
device_usage,list,List device usage,COLLECTION,STANDARD
device_usage,read,Read device usage,INSTANCE,STANDARD
device_usage,update,Update device usage,INSTANCE,ELEVATED
device_usage,delete,Delete device usage,INSTANCE,ELEVATED
device_usage,assign,Assign device usage,INSTANCE,ELEVATED
device_association,create,Create device association,COLLECTION,STANDARD
device_association,list,List device association,COLLECTION,STANDARD
device_association,read,Read device association,INSTANCE,STANDARD
device_association,update,Update device association,INSTANCE,ELEVATED
device_association,delete,Delete device association,INSTANCE,ELEVATED
device_association,assign,Assign device association,INSTANCE,ELEVATED
device_dispense,create,Create device dispense,COLLECTION,STANDARD
device_dispense,list,List device dispense,COLLECTION,STANDARD
device_dispense,read,Read device dispense,INSTANCE,STANDARD
device_dispense,update,Update device dispense,INSTANCE,ELEVATED
device_dispense,delete,Delete device dispense,INSTANCE,ELEVATED
device_dispense,assign,Assign device dispense,INSTANCE,ELEVATED
substance,create,Create substance,COLLECTION,STANDARD
substance,list,List substance,COLLECTION,STANDARD
substance,read,Read substance,INSTANCE,STANDARD
substance,update,Update substance,INSTANCE,ELEVATED
substance,delete,Delete substance,INSTANCE,ELEVATED
substance,assign,Assign substance,INSTANCE,ELEVATED
substance_definition,create,Create substance definition,COLLECTION,STANDARD
substance_definition,list,List substance definition,COLLECTION,STANDARD
substance_definition,read,Read substance definition,INSTANCE,STANDARD
substance_definition,update,Update substance definition,INSTANCE,ELEVATED
substance_definition,delete,Delete substance definition,INSTANCE,ELEVATED
substance_definition,assign,Assign substance definition,INSTANCE,ELEVATED
substance_nucleic_acid,create,Create substance nucleic acid,COLLECTION,STANDARD
substance_nucleic_acid,list,List substance nucleic acid,COLLECTION,STANDARD
substance_nucleic_acid,read,Read substance nucleic acid,INSTANCE,STANDARD
substance_nucleic_acid,update,Update substance nucleic acid,INSTANCE,ELEVATED
substance_nucleic_acid,delete,Delete substance nucleic acid,INSTANCE,ELEVATED
substance_nucleic_acid,assign,Assign substance nucleic acid,INSTANCE,ELEVATED
substance_polymer,create,Create substance polymer,COLLECTION,STANDARD
substance_polymer,list,List substance polymer,COLLECTION,STANDARD
substance_polymer,read,Read substance polymer,INSTANCE,STANDARD
substance_polymer,update,Update substance polymer,INSTANCE,ELEVATED
substance_polymer,delete,Delete substance polymer,INSTANCE,ELEVATED
substance_polymer,assign,Assign substance polymer,INSTANCE,ELEVATED
substance_protein,create,Create substance protein,COLLECTION,STANDARD
substance_protein,list,List substance protein,COLLECTION,STANDARD
substance_protein,read,Read substance protein,INSTANCE,STANDARD
substance_protein,update,Update substance protein,INSTANCE,ELEVATED
substance_protein,delete,Delete substance protein,INSTANCE,ELEVATED
substance_protein,assign,Assign substance protein,INSTANCE,ELEVATED
substance_reference_information,create,Create substance reference information,COLLECTION,STANDARD
substance_reference_information,list,List substance reference information,COLLECTION,STANDARD
substance_reference_information,read,Read substance reference information,INSTANCE,STANDARD
substance_reference_information,update,Update substance reference information,INSTANCE,ELEVATED
substance_reference_information,delete,Delete substance reference information,INSTANCE,ELEVATED
substance_reference_information,assign,Assign substance reference information,INSTANCE,ELEVATED
substance_source_material,create,Create substance source material,COLLECTION,STANDARD
substance_source_material,list,List substance source material,COLLECTION,STANDARD
substance_source_material,read,Read substance source material,INSTANCE,STANDARD
substance_source_material,update,Update substance source material,INSTANCE,ELEVATED
substance_source_material,delete,Delete substance source material,INSTANCE,ELEVATED
substance_source_material,assign,Assign substance source material,INSTANCE,ELEVATED
biologically_derived_product,create,Create biologically derived product,COLLECTION,STANDARD
biologically_derived_product,list,List biologically derived product,COLLECTION,STANDARD
biologically_derived_product,read,Read biologically derived product,INSTANCE,STANDARD
biologically_derived_product,update,Update biologically derived product,INSTANCE,ELEVATED
biologically_derived_product,delete,Delete biologically derived product,INSTANCE,ELEVATED
biologically_derived_product,assign,Assign biologically derived product,INSTANCE,ELEVATED
biologically_derived_product_dispense,create,Create biologically derived product dispense,COLLECTION,STANDARD
biologically_derived_product_dispense,list,List biologically derived product dispense,COLLECTION,STANDARD
biologically_derived_product_dispense,read,Read biologically derived product dispense,INSTANCE,STANDARD
biologically_derived_product_dispense,update,Update biologically derived product dispense,INSTANCE,ELEVATED
biologically_derived_product_dispense,delete,Delete biologically derived product dispense,INSTANCE,ELEVATED
biologically_derived_product_dispense,assign,Assign biologically derived product dispense,INSTANCE,ELEVATED
nutrition_product,create,Create nutrition product,COLLECTION,STANDARD
nutrition_product,list,List nutrition product,COLLECTION,STANDARD
nutrition_product,read,Read nutrition product,INSTANCE,STANDARD
nutrition_product,update,Update nutrition product,INSTANCE,ELEVATED
nutrition_product,delete,Delete nutrition product,INSTANCE,ELEVATED
nutrition_product,assign,Assign nutrition product,INSTANCE,ELEVATED
ingredient,create,Create ingredient,COLLECTION,STANDARD
ingredient,list,List ingredient,COLLECTION,STANDARD
ingredient,read,Read ingredient,INSTANCE,STANDARD
ingredient,update,Update ingredient,INSTANCE,ELEVATED
ingredient,delete,Delete ingredient,INSTANCE,ELEVATED
ingredient,assign,Assign ingredient,INSTANCE,ELEVATED
medicinal_product_definition,create,Create medicinal product definition,COLLECTION,STANDARD
medicinal_product_definition,list,List medicinal product definition,COLLECTION,STANDARD
medicinal_product_definition,read,Read medicinal product definition,INSTANCE,STANDARD
medicinal_product_definition,update,Update medicinal product definition,INSTANCE,ELEVATED
medicinal_product_definition,delete,Delete medicinal product definition,INSTANCE,ELEVATED
medicinal_product_definition,assign,Assign medicinal product definition,INSTANCE,ELEVATED
packaged_product_definition,create,Create packaged product definition,COLLECTION,STANDARD
packaged_product_definition,list,List packaged product definition,COLLECTION,STANDARD
packaged_product_definition,read,Read packaged product definition,INSTANCE,STANDARD
packaged_product_definition,update,Update packaged product definition,INSTANCE,ELEVATED
packaged_product_definition,delete,Delete packaged product definition,INSTANCE,ELEVATED
packaged_product_definition,assign,Assign packaged product definition,INSTANCE,ELEVATED
administrable_product_definition,create,Create administrable product definition,COLLECTION,STANDARD
administrable_product_definition,list,List administrable product definition,COLLECTION,STANDARD
administrable_product_definition,read,Read administrable product definition,INSTANCE,STANDARD
administrable_product_definition,update,Update administrable product definition,INSTANCE,ELEVATED
administrable_product_definition,delete,Delete administrable product definition,INSTANCE,ELEVATED
administrable_product_definition,assign,Assign administrable product definition,INSTANCE,ELEVATED
manufactured_item_definition,create,Create manufactured item definition,COLLECTION,STANDARD
manufactured_item_definition,list,List manufactured item definition,COLLECTION,STANDARD
manufactured_item_definition,read,Read manufactured item definition,INSTANCE,STANDARD
manufactured_item_definition,update,Update manufactured item definition,INSTANCE,ELEVATED
manufactured_item_definition,delete,Delete manufactured item definition,INSTANCE,ELEVATED
manufactured_item_definition,assign,Assign manufactured item definition,INSTANCE,ELEVATED
regulated_authorization,create,Create regulated authorization,COLLECTION,STANDARD
regulated_authorization,list,List regulated authorization,COLLECTION,STANDARD
regulated_authorization,read,Read regulated authorization,INSTANCE,STANDARD
regulated_authorization,update,Update regulated authorization,INSTANCE,ELEVATED
regulated_authorization,delete,Delete regulated authorization,INSTANCE,ELEVATED
regulated_authorization,assign,Assign regulated authorization,INSTANCE,ELEVATED
clinical_use_definition,create,Create clinical use definition,COLLECTION,STANDARD
clinical_use_definition,list,List clinical use definition,COLLECTION,STANDARD
clinical_use_definition,read,Read clinical use definition,INSTANCE,STANDARD
clinical_use_definition,update,Update clinical use definition,INSTANCE,ELEVATED
clinical_use_definition,delete,Delete clinical use definition,INSTANCE,ELEVATED
clinical_use_definition,assign,Assign clinical use definition,INSTANCE,ELEVATED
task,create,Create task,COLLECTION,STANDARD
task,list,List task,COLLECTION,STANDARD
task,read,Read task,INSTANCE,STANDARD
task,update,Update task,INSTANCE,ELEVATED
task,delete,Delete task,INSTANCE,ELEVATED
task,assign,Assign task,INSTANCE,ELEVATED
appointment,create,Create appointment,COLLECTION,STANDARD
appointment,list,List appointment,COLLECTION,STANDARD
appointment,read,Read appointment,INSTANCE,STANDARD
appointment,update,Update appointment,INSTANCE,ELEVATED
appointment,delete,Delete appointment,INSTANCE,ELEVATED
appointment,assign,Assign appointment,INSTANCE,ELEVATED
appointment_response,create,Create appointment response,COLLECTION,STANDARD
appointment_response,list,List appointment response,COLLECTION,STANDARD
appointment_response,read,Read appointment response,INSTANCE,STANDARD
appointment_response,update,Update appointment response,INSTANCE,ELEVATED
appointment_response,delete,Delete appointment response,INSTANCE,ELEVATED
appointment_response,assign,Assign appointment response,INSTANCE,ELEVATED
schedule,create,Create schedule,COLLECTION,STANDARD
schedule,list,List schedule,COLLECTION,STANDARD
schedule,read,Read schedule,INSTANCE,STANDARD
schedule,update,Update schedule,INSTANCE,ELEVATED
schedule,delete,Delete schedule,INSTANCE,ELEVATED
schedule,assign,Assign schedule,INSTANCE,ELEVATED
slot,create,Create slot,COLLECTION,STANDARD
slot,list,List slot,COLLECTION,STANDARD
slot,read,Read slot,INSTANCE,STANDARD
slot,update,Update slot,INSTANCE,ELEVATED
slot,delete,Delete slot,INSTANCE,ELEVATED
slot,assign,Assign slot,INSTANCE,ELEVATED
verification_result,create,Create verification result,COLLECTION,STANDARD
verification_result,list,List verification result,COLLECTION,STANDARD
verification_result,read,Read verification result,INSTANCE,STANDARD
verification_result,update,Update verification result,INSTANCE,ELEVATED
verification_result,delete,Delete verification result,INSTANCE,ELEVATED
verification_result,assign,Assign verification result,INSTANCE,ELEVATED
requirements,create,Create requirements,COLLECTION,STANDARD
requirements,list,List requirements,COLLECTION,STANDARD
requirements,read,Read requirements,INSTANCE,STANDARD
requirements,update,Update requirements,INSTANCE,ELEVATED
requirements,delete,Delete requirements,INSTANCE,ELEVATED
requirements,assign,Assign requirements,INSTANCE,ELEVATED
transport,create,Create transport,COLLECTION,STANDARD
transport,list,List transport,COLLECTION,STANDARD
transport,read,Read transport,INSTANCE,STANDARD
transport,update,Update transport,INSTANCE,ELEVATED
transport,delete,Delete transport,INSTANCE,ELEVATED
transport,assign,Assign transport,INSTANCE,ELEVATED
care_team,create,Create care team,COLLECTION,STANDARD
care_team,list,List care team,COLLECTION,STANDARD
care_team,read,Read care team,INSTANCE,STANDARD
care_team,update,Update care team,INSTANCE,ELEVATED
care_team,delete,Delete care team,INSTANCE,ELEVATED
care_team,assign,Assign care team,INSTANCE,ELEVATED
goal,create,Create goal,COLLECTION,STANDARD
goal,list,List goal,COLLECTION,STANDARD
goal,read,Read goal,INSTANCE,STANDARD
goal,update,Update goal,INSTANCE,ELEVATED
goal,delete,Delete goal,INSTANCE,ELEVATED
goal,assign,Assign goal,INSTANCE,ELEVATED
episode_of_care,create,Create episode of care,COLLECTION,STANDARD
episode_of_care,list,List episode of care,COLLECTION,STANDARD
episode_of_care,read,Read episode of care,INSTANCE,STANDARD
episode_of_care,update,Update episode of care,INSTANCE,ELEVATED
episode_of_care,delete,Delete episode of care,INSTANCE,ELEVATED
episode_of_care,assign,Assign episode of care,INSTANCE,ELEVATED
flag,create,Create flag,COLLECTION,STANDARD
flag,list,List flag,COLLECTION,STANDARD
flag,read,Read flag,INSTANCE,STANDARD
flag,update,Update flag,INSTANCE,ELEVATED
flag,delete,Delete flag,INSTANCE,ELEVATED
flag,assign,Assign flag,INSTANCE,ELEVATED
list,create,Create list,COLLECTION,STANDARD
list,list,List list,COLLECTION,STANDARD
list,read,Read list,INSTANCE,STANDARD
list,update,Update list,INSTANCE,ELEVATED
list,delete,Delete list,INSTANCE,ELEVATED
list,assign,Assign list,INSTANCE,ELEVATED
encounter,create,Create encounter,COLLECTION,STANDARD
encounter,list,List encounter,COLLECTION,STANDARD
encounter,read,Read encounter,INSTANCE,STANDARD
encounter,update,Update encounter,INSTANCE,ELEVATED
encounter,delete,Delete encounter,INSTANCE,ELEVATED
encounter,assign,Assign encounter,INSTANCE,ELEVATED
encounter_history,create,Create encounter history,COLLECTION,STANDARD
encounter_history,list,List encounter history,COLLECTION,STANDARD
encounter_history,read,Read encounter history,INSTANCE,STANDARD
encounter_history,update,Update encounter history,INSTANCE,ELEVATED
encounter_history,delete,Delete encounter history,INSTANCE,ELEVATED
encounter_history,assign,Assign encounter history,INSTANCE,ELEVATED
allergy_intolerance,create,Create allergy intolerance,COLLECTION,STANDARD
allergy_intolerance,list,List allergy intolerance,COLLECTION,STANDARD
allergy_intolerance,read,Read allergy intolerance,INSTANCE,STANDARD
allergy_intolerance,update,Update allergy intolerance,INSTANCE,ELEVATED
allergy_intolerance,delete,Delete allergy intolerance,INSTANCE,ELEVATED
allergy_intolerance,assign,Assign allergy intolerance,INSTANCE,ELEVATED
adverse_event,create,Create adverse event,COLLECTION,STANDARD
adverse_event,list,List adverse event,COLLECTION,STANDARD
adverse_event,read,Read adverse event,INSTANCE,STANDARD
adverse_event,update,Update adverse event,INSTANCE,ELEVATED
adverse_event,delete,Delete adverse event,INSTANCE,ELEVATED
adverse_event,assign,Assign adverse event,INSTANCE,ELEVATED
condition,create,Create condition,COLLECTION,STANDARD
condition,list,List condition,COLLECTION,STANDARD
condition,read,Read condition,INSTANCE,STANDARD
condition,update,Update condition,INSTANCE,ELEVATED
condition,delete,Delete condition,INSTANCE,ELEVATED
condition,assign,Assign condition,INSTANCE,ELEVATED
procedure,create,Create procedure,COLLECTION,STANDARD
procedure,list,List procedure,COLLECTION,STANDARD
procedure,read,Read procedure,INSTANCE,STANDARD
procedure,update,Update procedure,INSTANCE,ELEVATED
procedure,delete,Delete procedure,INSTANCE,ELEVATED
procedure,assign,Assign procedure,INSTANCE,ELEVATED
family_member_history,create,Create family member history,COLLECTION,STANDARD
family_member_history,list,List family member history,COLLECTION,STANDARD
family_member_history,read,Read family member history,INSTANCE,STANDARD
family_member_history,update,Update family member history,INSTANCE,ELEVATED
family_member_history,delete,Delete family member history,INSTANCE,ELEVATED
family_member_history,assign,Assign family member history,INSTANCE,ELEVATED
clinical_impression,create,Create clinical impression,COLLECTION,STANDARD
clinical_impression,list,List clinical impression,COLLECTION,STANDARD
clinical_impression,read,Read clinical impression,INSTANCE,STANDARD
clinical_impression,update,Update clinical impression,INSTANCE,ELEVATED
clinical_impression,delete,Delete clinical impression,INSTANCE,ELEVATED
clinical_impression,assign,Assign clinical impression,INSTANCE,ELEVATED
detected_issue,create,Create detected issue,COLLECTION,STANDARD
detected_issue,list,List detected issue,COLLECTION,STANDARD
detected_issue,read,Read detected issue,INSTANCE,STANDARD
detected_issue,update,Update detected issue,INSTANCE,ELEVATED
detected_issue,delete,Delete detected issue,INSTANCE,ELEVATED
detected_issue,assign,Assign detected issue,INSTANCE,ELEVATED
observation,create,Create observation,COLLECTION,STANDARD
observation,list,List observation,COLLECTION,STANDARD
observation,read,Read observation,INSTANCE,STANDARD
observation,update,Update observation,INSTANCE,ELEVATED
observation,delete,Delete observation,INSTANCE,ELEVATED
observation,assign,Assign observation,INSTANCE,ELEVATED
media,create,Create media,COLLECTION,STANDARD
media,list,List media,COLLECTION,STANDARD
media,read,Read media,INSTANCE,STANDARD
media,update,Update media,INSTANCE,ELEVATED
media,delete,Delete media,INSTANCE,ELEVATED
media,assign,Assign media,INSTANCE,ELEVATED
diagnostic_report,create,Create diagnostic report,COLLECTION,STANDARD
diagnostic_report,list,List diagnostic report,COLLECTION,STANDARD
diagnostic_report,read,Read diagnostic report,INSTANCE,STANDARD
diagnostic_report,update,Update diagnostic report,INSTANCE,ELEVATED
diagnostic_report,delete,Delete diagnostic report,INSTANCE,ELEVATED
diagnostic_report,assign,Assign diagnostic report,INSTANCE,ELEVATED
specimen,create,Create specimen,COLLECTION,STANDARD
specimen,list,List specimen,COLLECTION,STANDARD
specimen,read,Read specimen,INSTANCE,STANDARD
specimen,update,Update specimen,INSTANCE,ELEVATED
specimen,delete,Delete specimen,INSTANCE,ELEVATED
specimen,assign,Assign specimen,INSTANCE,ELEVATED
body_structure,create,Create body structure,COLLECTION,STANDARD
body_structure,list,List body structure,COLLECTION,STANDARD
body_structure,read,Read body structure,INSTANCE,STANDARD
body_structure,update,Update body structure,INSTANCE,ELEVATED
body_structure,delete,Delete body structure,INSTANCE,ELEVATED
body_structure,assign,Assign body structure,INSTANCE,ELEVATED
imaging_study,create,Create imaging study,COLLECTION,STANDARD
imaging_study,list,List imaging study,COLLECTION,STANDARD
imaging_study,read,Read imaging study,INSTANCE,STANDARD
imaging_study,update,Update imaging study,INSTANCE,ELEVATED
imaging_study,delete,Delete imaging study,INSTANCE,ELEVATED
imaging_study,assign,Assign imaging study,INSTANCE,ELEVATED
imaging_selection,create,Create imaging selection,COLLECTION,STANDARD
imaging_selection,list,List imaging selection,COLLECTION,STANDARD
imaging_selection,read,Read imaging selection,INSTANCE,STANDARD
imaging_selection,update,Update imaging selection,INSTANCE,ELEVATED
imaging_selection,delete,Delete imaging selection,INSTANCE,ELEVATED
imaging_selection,assign,Assign imaging selection,INSTANCE,ELEVATED
molecular_sequence,create,Create molecular sequence,COLLECTION,STANDARD
molecular_sequence,list,List molecular sequence,COLLECTION,STANDARD
molecular_sequence,read,Read molecular sequence,INSTANCE,STANDARD
molecular_sequence,update,Update molecular sequence,INSTANCE,ELEVATED
molecular_sequence,delete,Delete molecular sequence,INSTANCE,ELEVATED
molecular_sequence,assign,Assign molecular sequence,INSTANCE,ELEVATED
genomic_study,create,Create genomic study,COLLECTION,STANDARD
genomic_study,list,List genomic study,COLLECTION,STANDARD
genomic_study,read,Read genomic study,INSTANCE,STANDARD
genomic_study,update,Update genomic study,INSTANCE,ELEVATED
genomic_study,delete,Delete genomic study,INSTANCE,ELEVATED
genomic_study,assign,Assign genomic study,INSTANCE,ELEVATED
medication,create,Create medication,COLLECTION,STANDARD
medication,list,List medication,COLLECTION,STANDARD
medication,read,Read medication,INSTANCE,STANDARD
medication,update,Update medication,INSTANCE,ELEVATED
medication,delete,Delete medication,INSTANCE,ELEVATED
medication,assign,Assign medication,INSTANCE,ELEVATED
medication_request,create,Create medication request,COLLECTION,STANDARD
medication_request,list,List medication request,COLLECTION,STANDARD
medication_request,read,Read medication request,INSTANCE,STANDARD
medication_request,update,Update medication request,INSTANCE,ELEVATED
medication_request,delete,Delete medication request,INSTANCE,ELEVATED
medication_request,assign,Assign medication request,INSTANCE,ELEVATED
medication_administration,create,Create medication administration,COLLECTION,STANDARD
medication_administration,list,List medication administration,COLLECTION,STANDARD
medication_administration,read,Read medication administration,INSTANCE,STANDARD
medication_administration,update,Update medication administration,INSTANCE,ELEVATED
medication_administration,delete,Delete medication administration,INSTANCE,ELEVATED
medication_administration,assign,Assign medication administration,INSTANCE,ELEVATED
medication_dispense,create,Create medication dispense,COLLECTION,STANDARD
medication_dispense,list,List medication dispense,COLLECTION,STANDARD
medication_dispense,read,Read medication dispense,INSTANCE,STANDARD
medication_dispense,update,Update medication dispense,INSTANCE,ELEVATED
medication_dispense,delete,Delete medication dispense,INSTANCE,ELEVATED
medication_dispense,assign,Assign medication dispense,INSTANCE,ELEVATED
medication_statement,create,Create medication statement,COLLECTION,STANDARD
medication_statement,list,List medication statement,COLLECTION,STANDARD
medication_statement,read,Read medication statement,INSTANCE,STANDARD
medication_statement,update,Update medication statement,INSTANCE,ELEVATED
medication_statement,delete,Delete medication statement,INSTANCE,ELEVATED
medication_statement,assign,Assign medication statement,INSTANCE,ELEVATED
medication_knowledge,create,Create medication knowledge,COLLECTION,STANDARD
medication_knowledge,list,List medication knowledge,COLLECTION,STANDARD
medication_knowledge,read,Read medication knowledge,INSTANCE,STANDARD
medication_knowledge,update,Update medication knowledge,INSTANCE,ELEVATED
medication_knowledge,delete,Delete medication knowledge,INSTANCE,ELEVATED
medication_knowledge,assign,Assign medication knowledge,INSTANCE,ELEVATED
immunization,create,Create immunization,COLLECTION,STANDARD
immunization,list,List immunization,COLLECTION,STANDARD
immunization,read,Read immunization,INSTANCE,STANDARD
immunization,update,Update immunization,INSTANCE,ELEVATED
immunization,delete,Delete immunization,INSTANCE,ELEVATED
immunization,assign,Assign immunization,INSTANCE,ELEVATED
immunization_evaluation,create,Create immunization evaluation,COLLECTION,STANDARD
immunization_evaluation,list,List immunization evaluation,COLLECTION,STANDARD
immunization_evaluation,read,Read immunization evaluation,INSTANCE,STANDARD
immunization_evaluation,update,Update immunization evaluation,INSTANCE,ELEVATED
immunization_evaluation,delete,Delete immunization evaluation,INSTANCE,ELEVATED
immunization_evaluation,assign,Assign immunization evaluation,INSTANCE,ELEVATED
immunization_recommendation,create,Create immunization recommendation,COLLECTION,STANDARD
immunization_recommendation,list,List immunization recommendation,COLLECTION,STANDARD
immunization_recommendation,read,Read immunization recommendation,INSTANCE,STANDARD
immunization_recommendation,update,Update immunization recommendation,INSTANCE,ELEVATED
immunization_recommendation,delete,Delete immunization recommendation,INSTANCE,ELEVATED
immunization_recommendation,assign,Assign immunization recommendation,INSTANCE,ELEVATED
care_plan,create,Create care plan,COLLECTION,STANDARD
care_plan,list,List care plan,COLLECTION,STANDARD
care_plan,read,Read care plan,INSTANCE,STANDARD
care_plan,update,Update care plan,INSTANCE,ELEVATED
care_plan,delete,Delete care plan,INSTANCE,ELEVATED
care_plan,assign,Assign care plan,INSTANCE,ELEVATED
service_request,create,Create service request,COLLECTION,STANDARD
service_request,list,List service request,COLLECTION,STANDARD
service_request,read,Read service request,INSTANCE,STANDARD
service_request,update,Update service request,INSTANCE,ELEVATED
service_request,delete,Delete service request,INSTANCE,ELEVATED
service_request,assign,Assign service request,INSTANCE,ELEVATED
nutrition_order,create,Create nutrition order,COLLECTION,STANDARD
nutrition_order,list,List nutrition order,COLLECTION,STANDARD
nutrition_order,read,Read nutrition order,INSTANCE,STANDARD
nutrition_order,update,Update nutrition order,INSTANCE,ELEVATED
nutrition_order,delete,Delete nutrition order,INSTANCE,ELEVATED
nutrition_order,assign,Assign nutrition order,INSTANCE,ELEVATED
